pose,correctness,angle_elbow_l,angle_shoulder_l,angle_hip_l,angle_knee_l,angle_elbow_r,angle_shoulder_r,angle_hip_r,angle_knee_r
Anantasana,1,19.22079873842355,169.36219581487268,13.331296905753497,155.68037357850824,101.62967851010785,69.29538356123531,71.93797733072061,77.54764612311709
Anantasana,1,130.17801701949452,162.93153715545859,135.2319878855625,86.2982262478918,126.87755869394438,36.42177032435358,104.35433226554352,109.63150454416964
Anantasana,1,168.15499279879938,92.60301292742166,5.740459540937273,11.12597471738289,41.97207017278844,166.39505054082494,54.38589459933781,54.91218612522573
Anantasana,1,165.47672101838592,1.3216747844944918,147.18751219502792,147.77769366216262,105.56009033844104,62.14324837817766,140.2049519718539,147.17020679455624
Anantasana,1,177.88124814049064,154.75669332329423,22.831394091576993,36.45746139654096,151.10568480635973,66.70722097834543,148.36112778516633,47.13177030565437
Anantasana,1,165.3950214080697,19.21526921200624,167.4731305583596,174.9833750389135,166.74684187629657,5.523972869925891,79.9638402341495,81.73849497755347
Anantasana,1,140.68972334455296,14.222773228885611,153.71238410132955,163.74627132880576,165.31659848264306,26.32980212168199,136.9766314061138,119.71835951534878
Anantasana,1,161.6103027049695,17.284007181305405,169.28671863790933,23.31448725733146,147.76723169512067,37.27437481004965,148.3886159290325,70.66533354536142
Anantasana,1,139.34853669225086,52.0713740596594,165.61198401589738,170.38548969237877,151.87541754209394,3.420755346055474,164.61948166962662,170.49068605508825
Anantasana,1,147.4597111614061,0.06144779120235454,172.28458287263487,148.5382490988634,146.20412737862068,52.49250624759822,158.99118084503536,179.38548252549842
Anantasana,1,177.0070768988934,3.1488373372199785,170.91394661119588,175.99993108681022,138.22554816713182,50.707212588758594,164.391834965753,170.76278267974422
Anantasana,1,164.9618654375409,13.479466797795297,159.48753582038918,175.5460276918756,143.6781153953778,51.16750024527879,156.33795588784966,169.73785827951036
Anantasana,1,169.05614258426692,4.097299616658467,176.98032372735318,165.20722726158087,151.46293292397664,53.2132627459436,146.22340344844514,157.94370739567086
